/Users/adam/work/h2co/apex/june2013/raw/M-091.F-0019-2013/M-091.F-0019-2013-2013-06-08.apex
-------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
   1656-   3253 MAP_117      AP-H201-X201    22394        1 [  -142.437919,   212.689041 ] [  -261.762550,   209.780733 ]         59.1         55.9        0
   3266-   4863 MAP_117      AP-H201-X201    22394        1 [  -250.574316,   101.746749 ] [  -186.558069,   290.855762 ]         59.0         62.1        0
   4876-   5837 MAP_117      AP-H201-X201    22394        1 [  -328.522355,   -16.811877 ] [  -120.365339,   327.763372 ]         59.2         60.9        0
   5850-   7449 MAP_117      AP-H201-X201    22395        1 [  -326.523156,   142.231448 ] [  -327.420475,    29.219898 ]        147.9        150.1        0
   7462-   9055 MAP_117      AP-H201-X201    22395        1 [  -257.458762,   212.377024 ] [  -214.988731,   141.534849 ]        147.8        143.6        0
   9068-  10663 MAP_117      AP-H201-X201    22395        1 [  -187.643705,   279.769724 ] [   -95.745923,   257.396714 ]        147.8        147.1        0
  10676-  11635 MAP_117      AP-H201-X201    22395        1 [  -113.966171,   331.334710 ] [    17.497246,   326.767530 ]        147.9        154.2        0
  11678-  13277 MAP_117      AP-H201-X201    22400        1 [   -23.917323,   329.510441 ] [  -326.928701,   144.946529 ]         59.1         57.8        0
  13290-  14887 MAP_117      AP-H201-X201    22400        1 [  -142.785606,   207.986000 ] [  -259.432772,   214.489466 ]         59.0         56.7        0
  14900-  16491 MAP_117      AP-H201-X201    22400        1 [  -253.354133,    98.960388 ] [  -181.794012,   286.940014 ]         59.2         59.1        0
  16504-  17461 MAP_117      AP-H201-X201    22400        1 [  -327.653707,   -17.769565 ] [  -121.219796,   323.823036 ]         58.9         59.3        0
  17474-  19071 MAP_117      AP-H201-X201    22401        1 [  -329.916250,   141.796908 ] [  -325.453381,    27.560162 ]        147.8        150.7        0
  19084-  20683 MAP_117      AP-H201-X201    22401        1 [  -256.153425,   217.854489 ] [  -213.113844,   142.211038 ]        147.7        147.5        0
  20696-  22293 MAP_117      AP-H201-X201    22401        1 [  -190.603999,   280.987560 ] [   -98.456825,   258.570824 ]        147.7        148.4        0
  22306-  23263 MAP_117      AP-H201-X201    22401        1 [  -117.449108,   325.159205 ] [    16.237076,   324.683640 ]        147.7        145.5        0
  23306-  24897 MAP_118      AP-H201-X201    22406        1 [   -24.872617,   329.164903 ] [  -323.818882,   143.458277 ]         58.9         59.0        0
  24910-  26505 MAP_118      AP-H201-X201    22406        1 [  -145.364800,   208.014190 ] [  -259.900605,   212.699991 ]         59.2         58.9        0
  26518-  28119 MAP_118      AP-H201-X201    22406        1 [  -257.290171,   101.898075 ] [  -186.669354,   288.193389 ]         59.1         58.0        0
  28132-  29089 MAP_118      AP-H201-X201    22406        1 [  -327.977755,   -20.203696 ] [  -116.763734,   319.697636 ]         59.0         57.6        0
  29102-  30697 MAP_118      AP-H201-X201    22407        1 [  -327.369449,   140.924490 ] [  -325.822859,    27.940654 ]        147.9        148.8        0
  30710-  32305 MAP_118      AP-H201-X201    22407        1 [  -262.189730,   219.803358 ] [  -214.177953,   141.023998 ]        147.9        148.3        0
  32318-  33913 MAP_118      AP-H201-X201    22407        1 [  -191.120794,   279.139856 ] [   -97.799714,   258.908270 ]        147.9        148.9        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014JUN06/E-093.C-0144A-2014-2014-06-05.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     42-   1645 MAP_020      AP-H201-X201    30582        1 [   -26.420367,   331.097131 ] [  -328.904657,   147.402695 ]         59.2         58.6        0
   1658-   3257 MAP_020      AP-H201-X201    30582        1 [  -143.886994,   210.235576 ] [  -257.511421,   214.615843 ]         59.3         58.0        0
   3270-   4863 MAP_020      AP-H201-X201    30582        1 [  -255.913205,    98.177483 ] [  -189.622061,   289.906384 ]         58.9         59.1        0
   4876-   5833 MAP_020      AP-H201-X201    30582        1 [  -324.814675,   -17.531515 ] [  -113.163557,   325.891919 ]         59.5         58.4        0
   5846-   7435 MAP_020      AP-H201-X201    30583        1 [  -324.981201,   141.865836 ] [  -328.363706,    27.016510 ]        147.7        147.2        0
   7448-   9053 MAP_020      AP-H201-X201    30583        1 [  -257.308493,   215.152280 ] [  -215.907373,   138.341766 ]        147.7        150.1        0
   9066-  10661 MAP_020      AP-H201-X201    30583        1 [  -188.390862,   283.326727 ] [   -95.385947,   257.437031 ]        147.7        145.6        0
  10674-  11629 MAP_020      AP-H201-X201    30583        1 [  -111.272906,   326.803621 ] [    16.480260,   323.519111 ]        147.8        148.1        0
  11642-  13249 MAP_021      AP-H201-X201    30586        1 [   -24.058513,   329.283332 ] [  -326.735738,   144.260447 ]         59.2         59.7        0
  13262-  14859 MAP_021      AP-H201-X201    30586        1 [  -144.359522,   211.162718 ] [  -264.612435,   214.276716 ]         59.2         60.0        0
  14872-  16469 MAP_021      AP-H201-X201    30586        1 [  -253.667327,   100.544461 ] [  -188.436702,   286.555144 ]         58.9         58.5        0
  16482-  17441 MAP_021      AP-H201-X201    30586        1 [  -325.979900,   -16.978717 ] [  -121.014538,   324.138943 ]         59.3         57.7        0
  17454-  19051 MAP_021      AP-H201-X201    30587        1 [  -327.005013,   138.261433 ] [  -327.276689,    27.574867 ]        147.8        149.7        0
  19064-  20653 MAP_021      AP-H201-X201    30587        1 [  -253.691459,   213.244616 ] [  -213.369624,   139.723835 ]        147.9        148.5        0
  20666-  22263 MAP_021      AP-H201-X201    30587        1 [  -186.575262,   283.380971 ] [   -95.098063,   256.655308 ]        147.9        149.6        0
