/Users/adam/work/h2co/apex/june2013/raw/M-091.F-0019-2013/M-091.F-0019-2013-2013-06-08.apex
-------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
  65524-  67121 MAP_025      AP-H201-X201    30638        1 [  -253.192818,   216.424576 ] [  -215.841435,   137.602401 ]        147.9        150.1        0
  67134-  68737 MAP_025      AP-H201-X201    30638        1 [  -189.487484,   284.393573 ] [   -93.125487,   259.371709 ]        147.8        150.6        0
/Users/adam/work/h2co/apex/april2014/M-093.F-0009-2014-2014-04/M-093.F-0009-2014-2014-04-24.apex
------------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     58-    845 MAP_115      AP-H201-X201    16735        1 [   -21.923360,   330.006321 ] [  -321.983111,   132.520204 ]         59.3         58.9        0
    858-   1645 MAP_115      AP-H201-X201    16735        1 [  -141.685659,   201.480469 ] [  -255.323197,   210.392569 ]         59.1         58.1        0
   1658-   2439 MAP_115      AP-H201-X201    16735        1 [  -246.095046,    89.567176 ] [  -181.538724,   283.654544 ]         59.1         57.1        0
   2452-   2927 MAP_115      AP-H201-X201    16735        1 [  -318.465873,   -25.089935 ] [  -107.532941,   325.147943 ]         59.2         61.0        0
   2940-   3725 MAP_115      AP-H201-X201    16736        1 [  -318.188650,   132.634503 ] [  -322.308911,    29.124800 ]        147.3        144.8        0
   3738-   4523 MAP_115      AP-H201-X201    16736        1 [  -252.369049,   204.235626 ] [  -207.910073,   135.206517 ]        147.3        148.7        0
   4536-   5325 MAP_115      AP-H201-X201    16736        1 [  -189.981310,   274.655183 ] [   -95.343103,   259.502312 ]        147.4        152.1        0
   5338-   5805 MAP_115      AP-H201-X201    16736        1 [  -100.548537,   312.070679 ] [    18.625434,   323.740241 ]        147.0        147.9        0
   5848-   6633 MAP_116      AP-H201-X201    16742        1 [   -24.470545,   327.541257 ] [  -324.198854,   144.252403 ]         58.9         58.9        0
   6646-   7439 MAP_116      AP-H201-X201    16742        1 [  -138.983041,   206.374192 ] [  -249.486146,   217.938532 ]         58.9         59.3        0
   7452-   8237 MAP_116      AP-H201-X201    16742        1 [  -249.622417,    98.930319 ] [  -182.279134,   276.170676 ]         58.7         58.7        0
   8250-   8721 MAP_116      AP-H201-X201    16742        1 [  -326.899719,   -23.807414 ] [  -115.570042,   320.092208 ]         59.1         60.6        0
   8734-   9523 MAP_116      AP-H201-X201    16743        1 [  -328.990789,   136.957296 ] [  -326.110624,    26.921358 ]        147.9        150.1        0
   9536-  10319 MAP_116      AP-H201-X201    16743        1 [  -253.987964,   203.182514 ] [  -212.904336,   137.914670 ]        147.7        148.1        0
  10332-  11115 MAP_116      AP-H201-X201    16743        1 [  -180.584784,   279.649975 ] [   -91.534613,   256.487437 ]        147.1        149.1        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014OCT06/E-093.C-0144A-2014-2014-10-05.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     42-   1639 MAP_020      AP-H201-X201    70745        1 [   -22.391913,   331.525776 ] [  -328.806302,   146.099495 ]         58.8         59.9        0
   1652-   3245 MAP_020      AP-H201-X201    70745        1 [  -140.973716,   209.471670 ] [  -261.076780,   211.259488 ]         58.9         60.0        0
   3258-   4857 MAP_020      AP-H201-X201    70745        1 [  -256.856147,   100.238442 ] [  -188.724574,   289.291667 ]         58.9         59.5        0
   4870-   5833 MAP_020      AP-H201-X201    70745        1 [  -329.438644,   -17.960777 ] [  -122.138426,   325.990274 ]         59.0         61.1        0
   5846-   7439 MAP_020      AP-H201-X201    70746        1 [  -329.442894,   140.837349 ] [  -324.896702,    26.659974 ]        147.7        151.3        0
   7452-   9061 MAP_020      AP-H201-X201    70746        1 [  -275.575361,   213.951973 ] [  -215.218890,   139.780204 ]        147.9        148.7        0
   9074-  10671 MAP_020      AP-H201-X201    70746        1 [  -189.335257,   288.814349 ] [   -93.062317,   258.420578 ]        147.8        150.3        0
/Users/adam/work/h2co/apex/april2014/M-093.F-0009-2014-2014-04/M-093.F-0009-2014-2014-04-30.apex
------------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     46-    835 MAP_116      AP-H201-X201    19295        1 [   -22.555314,   330.594912 ] [  -319.686831,   146.133437 ]         59.3         58.7        0
    848-   1639 MAP_116      AP-H201-X201    19295        1 [  -142.899281,   208.555381 ] [  -247.316195,   209.277170 ]         59.3         58.5        0
   1652-   2441 MAP_116      AP-H201-X201    19295        1 [  -252.929306,    90.123135 ] [  -181.934892,   286.946666 ]         58.8         59.0        0
   2454-   2935 MAP_116      AP-H201-X201    19295        1 [  -327.769951,   -21.627168 ] [  -118.459212,   318.592298 ]         59.3         59.0        0
   2948-   3737 MAP_116      AP-H201-X201    19296        1 [  -319.857727,   138.350651 ] [  -322.299378,    26.810709 ]        147.3        148.1        0
   3750-   4543 MAP_116      AP-H201-X201    19296        1 [  -254.598095,   211.552175 ] [  -207.925128,   135.800044 ]        147.2        148.4        0
   4556-   5343 MAP_116      AP-H201-X201    19296        1 [  -190.872026,   275.121911 ] [   -92.684134,   250.198882 ]        147.2        148.8        0
   5356-   5829 MAP_116      AP-H201-X201    19296        1 [  -109.065052,   329.806994 ] [    24.056777,   322.901465 ]        147.2        148.7        0
   5842-   6627 MAP_116      AP-H201-X201    19298        1 [   -23.512865,   328.238865 ] [  -312.715940,   131.324904 ]         59.4         58.4        0
   6640-   7431 MAP_116      AP-H201-X201    19298        1 [  -137.851662,   207.936078 ] [  -246.646154,   198.894599 ]         59.4         58.6        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014AUG02/E-093.C-0144A-2014-2014-08-01.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     42-   1639 MAP_013      AP-H201-X201    47151        1 [   -27.129599,   328.213532 ] [  -327.343467,   147.759027 ]         59.2         60.2        0
   1652-   3251 MAP_013      AP-H201-X201    47151        1 [  -142.892557,   205.345454 ] [  -265.035750,   214.246821 ]         58.9         57.0        0
   3264-   4865 MAP_013      AP-H201-X201    47151        1 [  -252.587898,   100.879374 ] [  -188.294476,   286.980139 ]         59.2         60.6        0
   4878-   5841 MAP_013      AP-H201-X201    47151        1 [  -328.511478,   -18.631711 ] [  -115.868516,   327.047395 ]         59.2         60.7        0
   5884-   7479 MAP_013      AP-H201-X201    47205        1 [  -329.376140,   143.128587 ] [  -324.589535,    25.663938 ]        147.7        148.2        0
   7492-   9087 MAP_013      AP-H201-X201    47205        1 [  -253.555981,   215.369327 ] [  -218.686086,   139.079223 ]        147.7        147.8        0
   9100-  10697 MAP_013      AP-H201-X201    47205        1 [  -192.163676,   281.440602 ] [   -98.238426,   257.940907 ]        147.8        147.1        0
  10710-  11665 MAP_013      AP-H201-X201    47205        1 [  -112.801246,   326.577761 ] [    16.603007,   325.965493 ]        147.7        152.0        0
  11680-  13273 MAP_018      AP-H201-X201    47209        1 [   -25.875763,   330.427594 ] [  -326.122966,   142.070121 ]         59.0         59.0        0
  13286-  14877 MAP_018      AP-H201-X201    47209        1 [  -140.735285,   209.080916 ] [  -258.368855,   212.627329 ]         59.4         56.7        0
  14890-  16489 MAP_018      AP-H201-X201    47209        1 [  -254.940559,    99.384567 ] [  -183.004536,   284.721342 ]         58.9         59.7        0
  16502-  17461 MAP_018      AP-H201-X201    47209        1 [  -325.648313,   -18.952187 ] [  -114.426705,   327.444175 ]         59.0         57.1        0
  17474-  19069 MAP_018      AP-H201-X201    47210        1 [  -326.675107,   143.723746 ] [  -328.544951,    27.339333 ]        147.7        146.8        0
  19082-  20679 MAP_018      AP-H201-X201    47210        1 [  -255.830290,   219.927982 ] [  -212.129841,   142.438951 ]        147.9        146.9        0
  20692-  22289 MAP_018      AP-H201-X201    47210        1 [  -186.487196,   279.770157 ] [   -97.583458,   256.677951 ]        147.9        144.3        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014AUG09/E-093.C-0144A-2014-2014-08-07.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     42-   1641 MAP_022      AP-H201-X201    49659        1 [   -23.624704,   327.631856 ] [  -325.831696,   145.385787 ]         59.3         59.7        0
   1654-   3253 MAP_022      AP-H201-X201    49659        1 [  -140.607707,   208.728583 ] [  -260.917578,   213.496434 ]         59.1         63.0        0
   3266-   4863 MAP_022      AP-H201-X201    49659        1 [  -251.390737,    99.713051 ] [  -186.831882,   289.057450 ]         59.0         58.2        0
   4876-   5835 MAP_022      AP-H201-X201    49659        1 [  -326.279263,   -18.772250 ] [  -114.369039,   325.190517 ]         58.9         63.4        0
   5848-   7447 MAP_022      AP-H201-X201    49660        1 [  -333.048570,   144.543073 ] [  -328.081560,    29.339513 ]        148.1        147.6        0
   7460-   9055 MAP_022      AP-H201-X201    49660        1 [  -254.059401,   215.772736 ] [  -212.674586,   140.136104 ]        147.9        154.5        0
   9068-  10661 MAP_022      AP-H201-X201    49660        1 [  -185.395545,   278.298846 ] [   -97.550375,   257.596233 ]        147.9        148.9        0
  10674-  11633 MAP_022      AP-H201-X201    49660        1 [  -116.263244,   327.546660 ] [    12.865095,   325.436404 ]        147.8        143.7        0
  11646-  13245 MAP_023      AP-H201-X201    49662        1 [   -23.332244,   328.983801 ] [  -324.921650,   145.250826 ]         58.9         60.8        0
  13258-  14855 MAP_023      AP-H201-X201    49662        1 [  -143.320602,   215.133742 ] [  -259.478876,   211.283716 ]         59.1         60.6        0
  14868-  16457 MAP_023      AP-H201-X201    49662        1 [  -253.940756,    99.587568 ] [  -184.741568,   285.996424 ]         59.0         58.4        0
  16470-  17427 MAP_023      AP-H201-X201    49662        1 [  -327.296763,   -19.164929 ] [  -114.774476,   323.666283 ]         59.0         55.3        0
  17440-  19033 MAP_023      AP-H201-X201    49663        1 [  -328.753282,   140.997344 ] [  -326.384677,    27.495626 ]        147.7        149.5        0
  19046-  20643 MAP_023      AP-H201-X201    49663        1 [  -252.328660,   216.599074 ] [  -214.272586,   139.546252 ]        147.6        147.4        0
  20656-  22255 MAP_023      AP-H201-X201    49663        1 [  -187.517279,   284.954742 ] [   -95.669077,   259.317705 ]        147.9        147.5        0
  22268-  23229 MAP_023      AP-H201-X201    49663        1 [  -116.921543,   330.867477 ] [    18.078163,   326.420215 ]        147.7        148.5        0
  23272-  24865 MAP_024      AP-H201-X201    49669        1 [   -25.318778,   328.133571 ] [  -326.110167,   143.072602 ]         59.2         56.9        0
  24878-  26481 MAP_024      AP-H201-X201    49669        1 [  -143.583370,   210.606783 ] [  -256.911472,   214.828521 ]         59.2         62.1        0
  26494-  28089 MAP_024      AP-H201-X201    49669        1 [  -254.454717,   101.092880 ] [  -187.645157,   285.053794 ]         59.0         59.5        0
  28102-  29055 MAP_024      AP-H201-X201    49669        1 [  -325.182713,   -21.543846 ] [  -117.788715,   324.039147 ]         59.3         58.9        0
  29068-  30659 MAP_024      AP-H201-X201    49670        1 [  -329.681289,   145.434544 ] [  -326.079432,    26.036631 ]        147.6        154.4        0
  30672-  32263 MAP_024      AP-H201-X201    49670        1 [  -254.295467,   213.323520 ] [  -213.407948,   139.999017 ]        147.8        150.8        0
  32276-  33869 MAP_024      AP-H201-X201    49670        1 [  -195.062727,   279.604111 ] [   -90.243245,   256.610837 ]        147.7        151.5        0
  33882-  34847 MAP_024      AP-H201-X201    49670        1 [  -117.082018,   331.681785 ] [    14.326270,   325.778796 ]        147.7        148.7        0
  34860-  36463 MAP_025      AP-H201-X201    49672        1 [   -26.290844,   332.367819 ] [  -328.439152,   149.183670 ]         59.1         61.5        0
  36476-  38073 MAP_025      AP-H201-X201    49672        1 [  -143.864303,   212.322636 ] [  -255.459947,   214.552690 ]         59.1         61.5        0
  38086-  39681 MAP_025      AP-H201-X201    49672        1 [  -256.548789,   100.473301 ] [  -188.658660,   282.165416 ]         59.1         57.7        0
  39694-  40649 MAP_025      AP-H201-X201    49672        1 [  -326.982273,   -17.313544 ] [  -121.636063,   321.574924 ]         59.0         59.2        0
  40662-  42257 MAP_025      AP-H201-X201    49673        1 [  -334.086625,   140.089472 ] [  -327.941232,    27.100869 ]        147.6        147.4        0
  42270-  43865 MAP_025      AP-H201-X201    49673        1 [  -257.259051,   214.693067 ] [  -216.142646,   138.610537 ]        147.7        149.7        0
  43878-  45481 MAP_025      AP-H201-X201    49673        1 [  -193.128037,   281.796250 ] [   -97.108854,   257.576735 ]        148.0        150.1        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014AUG01/E-093.C-0144A-2014-2014-07-31.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     12-   1605 MAP_006      AP-H201-X201    46887        1 [  -326.837310,   141.257782 ] [  -327.678488,    29.539728 ]        147.7          0.0     1604
   1618-   3213 MAP_006      AP-H201-X201    46887        1 [  -259.403333,   216.163897 ] [  -213.605450,   137.096760 ]        147.7          0.0     3210
   3226-   4823 MAP_006      AP-H201-X201    46887        1 [  -190.183579,   278.832281 ] [   -98.370590,   258.454195 ]        147.8          0.0     4818
   4836-   5799 MAP_006      AP-H201-X201    46887        1 [  -117.120318,   330.952673 ] [    14.700459,   325.605883 ]        147.7        145.7     5792
   5812-   7417 MAP_007      AP-H201-X201    46889        1 [   -26.119804,   329.881672 ] [  -334.514862,   141.853950 ]         59.0         59.5        0
   7430-   9023 MAP_007      AP-H201-X201    46889        1 [  -141.311750,   212.485752 ] [  -255.191777,   212.644762 ]         59.3         56.7        0
   9036-  10629 MAP_007      AP-H201-X201    46889        1 [  -249.531002,    98.167626 ] [  -185.126330,   292.373561 ]         59.3         58.2        0
